sku,description,short_description,imp_desc
OPMBNTF0038,"<ul><li>13MP primary camera </li>
 <li>5MP front facing camera</li>
<li>5.5-inch Display</li>
 <li>1920 x 1080 pixels resolution </li>
 <li>1.5GHz  octa core processor</li>
<li>3000mAH lithium-ion batteryr</li></ul>
","<ul><li>13MP primary camera </li>
 <li>5MP front facing camera</li>
<li>5.5-inch Display</li>
 <li>1920 x 1080 pixels resolution </li>
 <li>1.5GHz  octa core processor</li>
<li>3000mAH lithium-ion batteryr</li></ul>
","<ul><li>13MP primary camera </li>
 <li>5MP front facing camera</li>
<li>5.5-inch Display</li>
 <li>1920 x 1080 pixels resolution </li>
 <li>1.5GHz  octa core processor</li>
<li>3000mAH lithium-ion batteryr</li></ul>
"
OPMBNTF0029,"<ul><li>13MP primary camera </li>
 <li>5MP front facing camera</li>
<li>5.5-inch Display</li>
 <li>1920 x 1080 pixels resolution </li>
 <li>1.5GHz  octa core processor</li>
<li>3000mAH lithium-ion batteryr</li></ul>
","<ul><li>13MP primary camera </li>
 <li>5MP front facing camera</li>
<li>5.5-inch Display</li>
 <li>1920 x 1080 pixels resolution </li>
 <li>1.5GHz  octa core processor</li>
<li>3000mAH lithium-ion batteryr</li></ul>
","<ul><li>13MP primary camera </li>
 <li>5MP front facing camera</li>
<li>5.5-inch Display</li>
 <li>1920 x 1080 pixels resolution </li>
 <li>1.5GHz  octa core processor</li>
<li>3000mAH lithium-ion batteryr</li></ul>
"
OPMBNTF0040,"<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera  </li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Polymer Battery</li>
<li>Octa Core 1.8GHz Processor</li></ul>
","<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera  </li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Polymer Battery</li>
<li>Octa Core 1.8GHz Processor</li></ul>
","<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera  </li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Polymer Battery</li>
<li>Octa Core 1.8GHz Processor</li></ul>
"
OPMBNTF0041,"<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera  </li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Polymer Battery</li>
<li>Octa Core 1.8GHz Processor</li></ul>
","<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera  </li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Polymer Battery</li>
<li>Octa Core 1.8GHz Processor</li></ul>
","<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera  </li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Polymer Battery</li>
<li>Octa Core 1.8GHz Processor</li></ul>
"
OPMBNTF0031,"<ul><li>2.4 inch QVGA Display</li>
<li>0.3MP Rear Camera</li>
<li>1700 mAh Li-Ion Battery</li>
<li>Qualcomm QSC1105 Processor</li></ul>
","<ul><li>2.4 inch QVGA Display</li>
<li>0.3MP Rear Camera</li>
<li>1700 mAh Li-Ion Battery</li>
<li>Qualcomm QSC1105 Processor</li></ul>
","<ul><li>2.4 inch QVGA Display</li>
<li>0.3MP Rear Camera</li>
<li>1700 mAh Li-Ion Battery</li>
<li>Qualcomm QSC1105 Processor</li></ul>
"
OPMBNTF0042,"<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera  </li>
<li>5MP Front Camera</li>
<li>2900 mAh Li-Ion Battery</li>
<li>Cortex-A53 (MediaTek MT6752 64-bit 4G LTE) Processor</li></ul>
","<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera  </li>
<li>5MP Front Camera</li>
<li>2900 mAh Li-Ion Battery</li>
<li>Cortex-A53 (MediaTek MT6752 64-bit 4G LTE) Processor</li></ul>
","<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera  </li>
<li>5MP Front Camera</li>
<li>2900 mAh Li-Ion Battery</li>
<li>Cortex-A53 (MediaTek MT6752 64-bit 4G LTE) Processor</li></ul>
"
OPMBNTF0043,"<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera </li>
<li>16MP + 8MP Dual Front Camera</li>
<li>3200 mAh Battery</li>
<li>Mediatek MT6750T Octa Core 1.5GHz Processor</li></ul>
","<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera </li>
<li>16MP + 8MP Dual Front Camera</li>
<li>3200 mAh Battery</li>
<li>Mediatek MT6750T Octa Core 1.5GHz Processor</li></ul>
","<ul><li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera </li>
<li>16MP + 8MP Dual Front Camera</li>
<li>3200 mAh Battery</li>
<li>Mediatek MT6750T Octa Core 1.5GHz Processor</li></ul>
"
OPMBNTF0027,"<ul><li>OS: Android 5.1</li>
<li>CPU: MediaTek MT6750 (1.5Ghz)</li>
<li>CAMERA: 13MP(Rear) + 16MP(Front)</li>
<li>SCREEN SIZE: 5.5? HD</li>
<li>BATTERY: 3075 MAH</li></ul>
","<ul><li>OS: Android 5.1</li>
<li>CPU: MediaTek MT6750 (1.5Ghz)</li>
<li>CAMERA: 13MP(Rear) + 16MP(Front)</li>
<li>SCREEN SIZE: 5.5? HD</li>
<li>BATTERY: 3075 MAH</li></ul>
","<ul><li>OS: Android 5.1</li>
<li>CPU: MediaTek MT6750 (1.5Ghz)</li>
<li>CAMERA: 13MP(Rear) + 16MP(Front)</li>
<li>SCREEN SIZE: 5.5? HD</li>
<li>BATTERY: 3075 MAH</li></ul>
"
OPMBNTF0044,"<ul><li>5 inch Full HD Display</li>
<li>13MP Rear Camera </li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Battery</li>
<li>Quad Core 2.15GHz Processor</li></ul>
","<ul><li>5 inch Full HD Display</li>
<li>13MP Rear Camera </li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Battery</li>
<li>Quad Core 2.15GHz Processor</li></ul>
","<ul><li>5 inch Full HD Display</li>
<li>13MP Rear Camera </li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Battery</li>
<li>Quad Core 2.15GHz Processor</li></ul>
"
NEWMOB00232,"<ul><li>5 inch HD Display</li>
<li>13MP Rear Camera</li>
<li>5MP Front Camera</li>
<li>2350 mAh Battery</li></ul>
","<ul><li>5 inch HD Display</li>
<li>13MP Rear Camera</li>
<li>5MP Front Camera</li>
<li>2350 mAh Battery</li></ul>
","<ul><li>5 inch HD Display</li>
<li>13MP Rear Camera</li>
<li>5MP Front Camera</li>
<li>2350 mAh Battery</li></ul>
"
