store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,color
admin,base,Laptops,simple,"3,11",QCNBB001537,2,No,"Catalog, Search",GST0.36,Lenovo,Yes,Yes,Yes,Core i3,QCNBK-B,"Lenovo-L420(Core I3 2310M 2.10GHz/4GB/320GB 15.6"")LR-0AV4X",15 Days Testing Warranty.,L420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-L420(Core I3 2310M 2.10GHz/4GB/320GB 15.6"")LR-0AV4X",simple,15 Days Testing Warranty.,No,No,10.8V--48Wh,Black
admin,base,Laptops,simple,"3,11",QCNBB001538,2,No,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,Core i3,QCNBK-B,"Sony-PCG61212W(Core I3 M330 2.13GHz/2GB/320GB 14"")2750708770066010",15 Days Testing Warranty.,PCG61212W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG61212W(Core I3 M330 2.13GHz/2GB/320GB 14"")2750708770066010",simple,15 Days Testing Warranty.,No,No,10.8V4000mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001507,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,,QCNBK-B,Dell-INSP 1464(Core 2 Duo 4GB/120GB)8D6T4BS,15 Days Testing Warranty.,INSP 1464,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-INSP 1464(Core 2 Duo 4GB/120GB)8D6T4BS,simple,15 Days Testing Warranty.,No,No,11.1v--4400mah,Black
admin,base,Laptops,simple,"3,11",QCNBB001508,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,Core i5,QCNBK-B,HP-15-R007TX(Core I5 4th Gen/2GB/1TB)CND4312WZC,15 Days Testing Warranty.,15-R007TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,HP-15-R007TX(Core I5 4th Gen/2GB/1TB)CND4312WZC,simple,15 Days Testing Warranty.,No,No,,Black
admin,base,Laptops,simple,"3,11",QCNBB001509,2,No,"Catalog, Search",GST0.36,Lenovo,Yes,Yes,Yes,Core i3,QCNBK-B,Lenovo-G50-70(Core I3 4th Gen 2GB/1TB)YB04726095,15 Days Testing Warranty.,G50-70,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Lenovo-G50-70(Core I3 4th Gen 2GB/1TB)YB04726095,simple,15 Days Testing Warranty.,No,No,,Sliver
admin,base,Laptops,simple,"3,11",OPNBNTF0044,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,,QCNBK-B,"HP-Notebook 15-be001TU(Pentium ® CPU N3710 1.60GHz/4GB/500GB 15.6"")CND6335JCY",15 Days Testing Warranty.,Notebook 15-be001TU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Notebook 15-be001TU(Pentium ® CPU N3710 1.60GHz/4GB/500GB 15.6"")CND6335JCY",simple,15 Days Testing Warranty.,No,No,14.8V--41Wh,Black
admin,base,Laptops,simple,"3,11",QCPNBK00245,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i7,QCNBK-B,"Dell-Latitude E6410(Core I7 M620 2.67GHz/2GB/500GB 14.0"")4ZBD6BS",15 Days Testing Warranty.,Latitude E6410,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Latitude E6410(Core I7 M620 2.67GHz/2GB/500GB 14.0"")4ZBD6BS",simple,15 Days Testing Warranty.,No,No,11.1V--56Wh,Grey
admin,base,Laptops,simple,"3,11",OPNBNTF0165,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,,QCNBK-B,"Dell-INSP 3551(Pentium N3540 2.16GHz/4GB/500GB 15.6"")8BD8J52",15 Days Testing Warranty.,INSP 3551,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 3551(Pentium N3540 2.16GHz/4GB/500GB 15.6"")8BD8J52",simple,15 Days Testing Warranty.,No,No,14.4V--40Wh,Black
admin,base,Laptops,simple,"3,11",OPNBNTF0183,2,No,"Catalog, Search",GST0.36,Micromax,Yes,Yes,Yes,,QCNBK-B,"Micromax-Canvas L1160(Atom Z3735 D 1.33GHz/2GB/32GB 11.6"")V04510160300003186",15 Days Testing Warranty.,Canvas L1160,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Micromax-Canvas L1160(Atom Z3735 D 1.33GHz/2GB/32GB 11.6"")V04510160300003186",simple,15 Days Testing Warranty.,No,No,In Build,Grey
admin,base,Laptops,simple,"3,11",OPNBNTF0184,2,No,"Catalog, Search",GST0.36,Micromax,Yes,Yes,Yes,,QCNBK-B,"Micromax-Canvas L1160(Atom Z3735 D 1.33GHz/2GB/32GB 11.6"")V04510160300008665",15 Days Testing Warranty.,Canvas L1160,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Micromax-Canvas L1160(Atom Z3735 D 1.33GHz/2GB/32GB 11.6"")V04510160300008665",simple,15 Days Testing Warranty.,No,No,In Build,Grey
