store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,color,mapped_status
admin,base,Laptops,simple,"3,11",OPNBNTF0208,2,"Catalog, Search",GST0.36,DELL,Core i5,QCNBK-B,"DELL-Latitude E4310(Core I5 M540 2.53GHz/2GB/320GB 14"")32JK1M1",15 Days Testing Warranty.,Latitude E4310,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"DELL-Latitude E4310(Core I5 M540 2.53GHz/2GB/320GB 14"")32JK1M1",simple,15 Days Testing Warranty.,No,No,11.1V--4300MAH,Grey,No
admin,base,Laptops,simple,"3,11",OPNBNTF0209,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-INSP 11-3147(Pentium N3530 2.16GHz/4GB/500GB 14.0"")JB1FB12",15 Days Testing Warranty.,INSP 11-3147,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-INSP 11-3147(Pentium N3530 2.16GHz/4GB/500GB 14.0"")JB1FB12",simple,15 Days Testing Warranty.,No,No,In Build,Silver,No
admin,base,Laptops,simple,"3,11",SYGNBQB0433,2,"Catalog, Search",GST0.36,Lenovo ,Core i7,QCNBK-B,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VP5FN",15 Days Testing Warranty.,T420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VP5FN",simple,15 Days Testing Warranty.,No,No,11.1V--94WH,Black,No
admin,base,Laptops,simple,"3,11",SYGNBQB0434,2,"Catalog, Search",GST0.36,Lenovo ,Core i7,QCNBK-B,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV62G",15 Days Testing Warranty.,T420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV62G",simple,15 Days Testing Warranty.,No,No,11.1V--94WH,Black,No
admin,base,Laptops,simple,"3,11",SYGNBQB0435,2,"Catalog, Search",GST0.36,Lenovo ,Core i7,QCNBK-B,"Lenovo -T420(Core i7 2620M 2.80GHz/4GB/320GB 14"")R8-VV61B",15 Days Testing Warranty.,T420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo -T420(Core i7 2620M 2.80GHz/4GB/320GB 14"")R8-VV61B",simple,15 Days Testing Warranty.,No,No,11.1V--94WH,Black,No
admin,base,Laptops,simple,"3,11",QCNBB001926,2,"Catalog, Search",GST0.36,ACER,Core i3,QCNBK-B,"ACER-Aspire 5745(Core I3 M380 2.53GHz/4GB/500GB 15.6"")LXPTW0C058110136F62500",15 Days Testing Warranty.,Aspire 5745,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"ACER-Aspire 5745(Core I3 M380 2.53GHz/4GB/500GB 15.6"")LXPTW0C058110136F62500",simple,15 Days Testing Warranty.,No,No,11.1V--6000mAh,Black,No
admin,base,Laptops,simple,"3,11",QCNBB001927,2,"Catalog, Search",GST0.36,SAMSUNG,Core i3,QCNBK-B,SAMSUNG-RV411(CORE I3 / 4GB / 500GB)FZL293AB500025H,15 Days Testing Warranty.,RV411,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,SAMSUNG-RV411(CORE I3 / 4GB / 500GB)FZL293AB500025H,simple,15 Days Testing Warranty.,No,No,10.1V---4800mAh,Silver,No
admin,base,Laptops,simple,"3,11",QCNBB001928,2,"Catalog, Search",GST0.36,ACER,Core i3,QCNBK-B,"ACER-Aspire 4755(Core I3 2310M 2.10GHz/2GB/500GB 14.1"")LXRPT0C0331270F6022000",15 Days Testing Warranty.,Aspire 4755,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"ACER-Aspire 4755(Core I3 2310M 2.10GHz/2GB/500GB 14.1"")LXRPT0C0331270F6022000",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,Black,No
admin,base,Laptops,simple,"3,11",OPNBNTF0210,2,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP 3555(Core I3 5005U 2.00GHz/4GB/1TB DOS 15.6"")FJMYZB2",15 Days Testing Warranty.,INSP 3555,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-INSP 3555(Core I3 5005U 2.00GHz/4GB/1TB DOS 15.6"")FJMYZB2",simple,15 Days Testing Warranty.,No,No,14.8V--40Wh,Black,No
admin,base,Laptops,simple,"3,11",QCNBB001929,2,"Catalog, Search",GST0.36,Samsung,,QCNBK-B,Samsung-N148T(Atom N550 1.50GHz/1GB/160GB Dos)ZXYY93KZB01717J,15 Days Testing Warranty.,N148T,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Samsung-N148T(Atom N550 1.50GHz/1GB/160GB Dos)ZXYY93KZB01717J,simple,15 Days Testing Warranty.,No,No,11.1V--4400MAh,Black,No
admin,base,Laptops,simple,"3,11",OPNBNTF0211,2,"Catalog, Search",GST0.36,APPLE,Core i7,QCNBK-B,"APPLE-A1278(Core I7 2.50GHz/4GB/500GB 13"")C1MQ4E40DTY3",15 Days Testing Warranty.,A1278,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"APPLE-A1278(Core I7 2.50GHz/4GB/500GB 13"")C1MQ4E40DTY3",simple,15 Days Testing Warranty.,No,No,Inbuild,Silver,No
admin,base,Laptops,simple,"3,11",SYGNBQB0436,2,"Catalog, Search",GST0.36,Lenovo ,Core i7,QCNBK-B,"Lenovo -T420(Core i7 2640M 2.80GHz/4GB/320GB 14"")R8-HEM7T",15 Days Testing Warranty.,T420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo -T420(Core i7 2640M 2.80GHz/4GB/320GB 14"")R8-HEM7T",simple,15 Days Testing Warranty.,No,No,11.1V--94WH,Black,No
admin,base,Laptops,simple,"3,11",SYGNBQB0437,2,"Catalog, Search",GST0.36,Lenovo ,Core i7,QCNBK-B,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV62D",15 Days Testing Warranty.,T420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo -T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV62D",simple,15 Days Testing Warranty.,No,No,11.1V--94WH,Black,No
