store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,mapped_status,price,cpu,laptop_battery,color,laptop_processor
admin,base,Laptops,simple,"3,11",SYGNBAS0360,2,"Catalog, Search",GST0.36,HCL,QCNBK-B,"HCL-ME ICON (Core I3 /3GB/320GB 15.6"")5104AE438159",1 Year  Warranty.,ME ICON ,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HCL-ME ICON (Core I3 /3GB/320GB 15.6"")5104AE438159",simple,1 Year  Warranty.,No,No,0.00,I3,10.8V--4400MAH,Red,Core i3
admin,base,Laptops,simple,"3,11",SYGNBAS0361,2,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-DV6-6121TX(Core I7 2630QM 2.00GHz/8GB/640GB 15.6"")5CH1221MM9",1 Year  Warranty.,DV6-6121TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-DV6-6121TX(Core I7 2630QM 2.00GHz/8GB/640GB 15.6"")5CH1221MM9",simple,1 Year  Warranty.,No,No,0.00,I7,10.8V--4910mAh,Brown,Core i7
admin,base,Laptops,simple,"3,11",SYGNBAS0362,2,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-Pavilion DV2000(Genuine intel T26 1.60GHz/2GB/80GB 14"")2CE65210QZ",1 Year  Warranty.,Pavilion DV2000,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Pavilion DV2000(Genuine intel T26 1.60GHz/2GB/80GB 14"")2CE65210QZ",simple,1 Year  Warranty.,No,No,0.00,Below I3,10.8V--4400mAh,Black,
admin,base,Laptops,simple,"3,11",SYGNBAS0363,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-INSP N4110(Core I5 2430M 2.40GHz/4GB/500GB 14"")5SKM7R1",1 Year  Warranty.,INSP N4110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-INSP N4110(Core I5 2430M 2.40GHz/4GB/500GB 14"")5SKM7R1",simple,1 Year  Warranty.,No,No,0.00,I5,11.1V--48WH,Brown,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0364,2,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-Pavillion 15-p077tx(Core I5 4210U 1.70GHz/8GB/1TB 15.6"")5CD4241Q2X",1 Year  Warranty.,Pavillion 15-p077tx,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Pavillion 15-p077tx(Core I5 4210U 1.70GHz/8GB/1TB 15.6"")5CD4241Q2X",simple,1 Year  Warranty.,No,No,0.00,I5,14.8V--2200mAh,White,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0365,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Latitude E6320(Core I5 2520M 2.50GHz/4GB/500GB 14"")13T3QV1",1 Year  Warranty.,Latitude E6320,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Latitude E6320(Core I5 2520M 2.50GHz/4GB/500GB 14"")13T3QV1",simple,1 Year  Warranty.,No,No,0.00,I5,11.1V--58WH,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0366,2,"Catalog, Search",GST0.36,Acer,QCNBK-B,"Acer-aspire 5733(Pentium P6200 2.13GHz/4GB/250GB 15.6"")LXRJW0C0341320DABE1601",1 Year  Warranty.,aspire 5733,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer-aspire 5733(Pentium P6200 2.13GHz/4GB/250GB 15.6"")LXRJW0C0341320DABE1601",simple,1 Year  Warranty.,No,No,0.00,Below I3,10.8v--4400mah,Black,
admin,base,Laptops,simple,"3,11",SYGNBAS0367,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Studio 1558(Core I5 4GB/500GB 14.0"")29PWCN1",1 Year  Warranty.,Studio 1558,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Studio 1558(Core I5 4GB/500GB 14.0"")29PWCN1",simple,1 Year  Warranty.,No,No,0.00,I5,11.1V--56Wh,Black,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0368,2,"Catalog, Search",GST0.36,Samsung,QCNBK-B,"Samsung-350V(Core I5 3210M 2.50GHz/8GB/740GB 14"")HT9498FC6B1MZJA",1 Year  Warranty.,350V,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Samsung-350V(Core I5 3210M 2.50GHz/8GB/740GB 14"")HT9498FC6B1MZJA",simple,1 Year  Warranty.,No,No,0.00,I5,11.1V--56Wh,Blue,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0369,2,"Catalog, Search",GST0.36,HCL,QCNBK-B,"HCL-Notebook K28 PDC(Pentium Dual T3200 2.00GHz/2GB/160GB 14.0"")A084AX140185 / 000009",1 Year  Warranty.,Notebook K28 PDC,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HCL-Notebook K28 PDC(Pentium Dual T3200 2.00GHz/2GB/160GB 14.0"")A084AX140185 / 000009",simple,1 Year  Warranty.,No,No,0.00,Below I3,10.8V--40Wh,Black,
