sku,image,small_image,thumbnail,gallery
QCMBB000211,+/Micromax-Unite-2-A106.jpg,+/Micromax-Unite-2-A106.jpg,+/Micromax-Unite-2-A106.jpg,/Micromax-Unite-2-A106-right.jpg;/Micromax-Unite-2-A106-left.jpg
OPMBNTFB0457,+/Micromax-Canvas-Pulse-Grey.jpg,+/Micromax-Canvas-Pulse-Grey.jpg,+/Micromax-Canvas-Pulse-Grey.jpg,/Micromax-Canvas-Pulse-Grey-right.jpg;/Micromax-Canvas-Pulse-Grey-left.jpg
OPMBNTFB0148,+/Coolpad-Mega-2.5D-Royal-Gold.jpg,+/Coolpad-Mega-2.5D-Royal-Gold.jpg,+/Coolpad-Mega-2.5D-Royal-Gold.jpg,/Coolpad-Mega-2.5D-Royal-Gold-right.jpg;/Coolpad-Mega-2.5D-Royal-Gold-left.jpg
OPMBNTF0446,+/Micromax-Canvas-A290-1GB-Black+Gold.jpg,+/Micromax-Canvas-A290-1GB-Black+Gold.jpg,+/Micromax-Canvas-A290-1GB-Black+Gold.jpg,/Micromax-Canvas-A290-1GB-Black+Gold-right.jpg;/Micromax-Canvas-A290-1GB-Black+Gold-left.jpg
NEWMOB00431,+/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg,+/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg,+/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg,/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg;/Karbonn-Smart-Titanium-Mach-Five-Champagne-right.jpg
OPMBNTF0764,+/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg,+/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg,+/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg,/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg;/Karbonn-Smart-Titanium-Mach-Five-Champagne-right.jpg
OPMBNTFB0764,+/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg,+/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg,+/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg,/Karbonn-Smart-Titanium-Mach-Five-Champagne.jpg;/Karbonn-Smart-Titanium-Mach-Five-Champagne-right.jpg
NEWMOB00436,+/Redmi-Note-4-Dark-Grey.jpg,+/Redmi-Note-4-Dark-Grey.jpg,+/Redmi-Note-4-Dark-Grey.jpg,/Redmi-Note-4-Dark-Grey-right.jpg;/Redmi-Note-4-Dark-Grey-left.jpg
OPMBNTF0769,+/Redmi-Note-4-Dark-Grey.jpg,+/Redmi-Note-4-Dark-Grey.jpg,+/Redmi-Note-4-Dark-Grey.jpg,/Redmi-Note-4-Dark-Grey-right.jpg;/Redmi-Note-4-Dark-Grey-left.jpg
OPMBNTFB0769,+/Redmi-Note-4-Dark-Grey.jpg,+/Redmi-Note-4-Dark-Grey.jpg,+/Redmi-Note-4-Dark-Grey.jpg,/Redmi-Note-4-Dark-Grey-right.jpg;/Redmi-Note-4-Dark-Grey-left.jpg
NEWMOB00447,+/Mi-Max-Grey.jpg,+/Mi-Max-Grey.jpg,+/Mi-Max-Grey.jpg,/Mi-Max-Grey-right.jpg;/Mi-Max-Grey-left.jpg
OPMBNTF0781,+/Mi-Max-Grey.jpg,+/Mi-Max-Grey.jpg,+/Mi-Max-Grey.jpg,/Mi-Max-Grey-right.jpg;/Mi-Max-Grey-left.jpg
OPMBNTFB0781,+/Mi-Max-Grey.jpg,+/Mi-Max-Grey.jpg,+/Mi-Max-Grey.jpg,/Mi-Max-Grey-right.jpg;/Mi-Max-Grey-left.jpg
OPMBNTF0303,+/Micromax-Canvas-Tab-P290-Black.jpg,+/Micromax-Canvas-Tab-P290-Black.jpg,+/Micromax-Canvas-Tab-P290-Black.jpg,/Micromax-Canvas-Tab-P290-Black-right.jpg;/Micromax-Canvas-Tab-P290-Black-left.jpg
OPMBNTF0445,+/Micromax-Bolt-A24.jpg,+/Micromax-Bolt-A24.jpg,+/Micromax-Bolt-A24.jpg,/Micromax-Bolt-A24-right.jpg;/Micromax-Bolt-A24-left.jpg
OPMBNTF0447,+/Micromax-Canvas-Doodle-4-White.jpg,+/Micromax-Canvas-Doodle-4-White.jpg,+/Micromax-Canvas-Doodle-4-White.jpg,/Micromax-Canvas-Doodle-4-White-right.jpg;/Micromax-Canvas-Doodle-4-White-left.jpg
OPMBNTF0449,+/Micromax-Canvas-Pep-Blue.jpg,+/Micromax-Canvas-Pep-Blue.jpg,+/Micromax-Canvas-Pep-Blue.jpg,/Micromax-Canvas-Pep-Blue-right.jpg;/Micromax-Canvas-Pep-Blue-left.jpg
OPMBNTF0452,+/Micromax-X071-White.jpg,+/Micromax-X071-White.jpg,+/Micromax-X071-White.jpg,/Micromax-X071-White.jpg;/Micromax-X071-White-right.jpg
OPMBNTF0454,+/Micromax-X520-Black.jpg,+/Micromax-X520-Black.jpg,+/Micromax-X520-Black.jpg,/Micromax-X520-Black.jpg
OPMBNTF0456,+/Micromax-X402-Black.jpg,+/Micromax-X402-Black.jpg,+/Micromax-X402-Black.jpg,/Micromax-X402-Black-right.jpg;/Micromax-X402-Black-left.jpg
OPMBNTF0460,+/Microsoft-Lumia-640-black.jpg,+/Microsoft-Lumia-640-black.jpg,+/Microsoft-Lumia-640-black.jpg,/Microsoft-Lumia-640-black-right.jpg;/Microsoft-Lumia-640-black-left.jpg
OPMBNTF0461,+/Microsoft-Lumia-650-black.jpg,+/Microsoft-Lumia-650-black.jpg,+/Microsoft-Lumia-650-black.jpg,/Microsoft-Lumia-650-black-right.jpg;/Microsoft-Lumia-650-black-left.jpg
OPMBNTF0444,+/Micromax-A106-Red.jpg,+/Micromax-A106-Red.jpg,+/Micromax-A106-Red.jpg,/Micromax-A106-Red-right.jpg;/Micromax-A106-Red-left.jpg
