store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,mapped_status,price,cpu,laptop_battery,color,laptop_processor
admin,base,Laptops,simple,"3,11",QCNBB001981,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,HP-Pavillion DV6500(Core 2 Duo T5250 1.50GHz/2GB/250GB)CNF74280RF,1 Year  Warranty.,Pavillion DV6500,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,HP-Pavillion DV6500(Core 2 Duo T5250 1.50GHz/2GB/250GB)CNF74280RF,simple,1 Year  Warranty.,No,0.00,Below I3,10.8V-47WH,Black,
admin,base,Laptops,simple,"3,11",SYGNBQB0572,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB1380XPT",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB1380XPT",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0573,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB1403V5T",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB1403V5T",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0574,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB13677KS",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB13677KS",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0575,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CD1403V7S",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CD1403V7S",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0576,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB13676GK",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB13676GK",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0577,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB1367751",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB1367751",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0578,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB136776W",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB136776W",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0579,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB144BDR5",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB144BDR5",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0580,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB1403VMY",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB1403VMY",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
