sku,image,small_image,thumbnail,gallery,,
OPMBNTFB0228,+/TCL-Pride-T500L.jpg,+/TCL-Pride-T500L.jpg,+/TCL-Pride-T500L.jpg,/TCL-Pride-T500L-Right.jpg;/TCL-Pride-T500L-left.jpg,,
NEWACC00008,+/Dell-Backpack.jpg,+/Dell-Backpack.jpg,+/Dell-Backpack.jpg,,,
NEWACC00009,+/Dell-urban-Backpack.jpg,+/Dell-urban-Backpack.jpg,+/Dell-urban-Backpack.jpg,,,
NEWACC00010,+/Dell-Tek-Backpack.jpg,+/Dell-Tek-Backpack.jpg,+/Dell-Tek-Backpack.jpg,,,
NEWACC00011,+/Acer-Backpack.jpg,+/Acer-Backpack.jpg,+/Acer-Backpack.jpg,,,
NEWACC00012,+/Hp-trendsetter-Backpack.jpg,+/Hp-trendsetter-Backpack.jpg,+/Hp-trendsetter-Backpack.jpg,,,
OPENACC0007,+/Hp-entry-level-Backpack.jpg,+/Hp-entry-level-Backpack.jpg,+/Hp-entry-level-Backpack.jpg,,,
NEWACC00013,+/Hp-entry-level-Backpack.jpg,+/Hp-entry-level-Backpack.jpg,+/Hp-entry-level-Backpack.jpg,,,
NEWACC00014,+/HP-Odyssey-Backpack.jpg,+/HP-Odyssey-Backpack.jpg,+/HP-Odyssey-Backpack.jpg,,,
OPENACC0010,+/Dell-Backpack.jpg,+/Dell-Backpack.jpg,+/Dell-Backpack.jpg,,,
OPMBNTF0493,+/samsung-galaxy-a8-a800i-black.jpg,+/samsung-galaxy-a8-a800i-black.jpg,+/samsung-galaxy-a8-a800i-black.jpg,/samsung-galaxy-a8-a800i-black-right.jpg;/samsung-galaxy-a8-a800i-black-left.jpg,,
OPMBNTFB0777,+/Yunique-2-Yu5011-Champagne.jpg,+/Yunique-2-Yu5011-Champagne.jpg,+/Yunique-2-Yu5011-Champagne.jpg,/Yunique-2-Yu5011-Champagne-right.jpg;/Yunique-2-Yu5011-Champagne-left.jpg,,
OPMBNTFB0070,+/samsung-galaxy-j5-j510f-white.jpg,+/samsung-galaxy-j5-j510f-white.jpg,+/samsung-galaxy-j5-j510f-white.jpg,/samsung-galaxy-j5-j510f-white-right.jpg;/samsung-galaxy-j5-j510f-white-left.jpg,,
OPMBNTFB0690,+/Mi-Max-Silver.jpg,+/Mi-Max-Silver.jpg,+/Mi-Max-Silver.jpg,/Mi-Max-Silver-right.jpg;/Mi-Max-Silver-left.jpg,,
OPMBNTFB0439,+/letv-le-2-x526-rose-gold.jpg,+/letv-le-2-x526-rose-gold.jpg,+/letv-le-2-x526-rose-gold.jpg,/letv-le-2-x526-rose-gold-right.jpg;/letv-le-2-x526-rose-gold-left.jpg,,
OPMBNTFB0524,+/Sansui-X45-Black.jpg,+/Sansui-X45-Black.jpg,+/Sansui-X45-Black.jpg,/Sansui-X45-Black-right.jpg;/Sansui-X45-Black-left.jpg,,
OPMBNTFB0547,+/gamma-p100-black.jpg,+/gamma-p100-black.jpg,+/gamma-p100-black.jpg,/gamma-p100-black.jpg;/gamma-p100-black-right.jpg,,
OPMBNTFB0541,+/Redmi-3S-Dark-Grey.jpg,+/Redmi-3S-Dark-Grey.jpg,+/Redmi-3S-Dark-Grey.jpg,/Redmi-3S-Dark-Grey-right.jpg;/Redmi-3S-Dark-Grey-left.jpg,,
