ID,SKU,"PRODUCT NAME",CATEGORY,QTY,PRICE
6733,OPMBNTF0469,"Moto X Play (White, 32 GB)","Open Box Mobiles",4.0000,8000
10466,SYG/MOT/XS32GB,"Moto X Style (32GB)","Sell Your Gadget",10.0000,11600
7297,OPMBNTF0643,"Moto X Style XT1572 (16GB White)","Open Box Mobiles",71.0000,7500
20105,OPMBNTFB0643,"Moto X Style XT1572 (16GB White) (B Grade)","Open Box Mobile Grade B ",5.0000,7200
20111,OPMBNTFB0472,"Moto X-Force ( 32GB White ) (B Grade)","Open Box Mobile Grade B ",2.0000,7200
19488,OPMBNTFB0045,"Moto X-Force ( 32GB, Black )(B Grade)","Open Box Mobile Grade B ",1.0000,6800
19686,OPMBNTFB0047,"Moto X-Force ( 64GB Black )(B Grade)","Open Box Mobile Grade B ",12.0000,8280
19752,OPMBNTFB0069,"Moto X-Force XT1580 ( 32GB Grey ) (B Grade)","Open Box Mobile Grade B ",5.0000,7200
20029,OPMBNTFB0567,"MOTO XT 1092 Black (B Grade)","Open Box Mobile Grade B ",4.0000,7300
10477,SYG/MOT/ZP32GB,"Moto Z Play (32 GB)","Sell Your Gadget",10.0000,10000
10478,SYG/MOT/ZP64GB,"Moto Z Play (64 GB)","Sell Your Gadget",10.0000,16000
16392,NEWMOB00010,"MOTOROLA  X (XT1052) ","Brand New Mobiles",2.0000,6000
18972,OPMBNTF0251,"MOTOROLA E (XT1521) (2ND GEN) 8GB BLACK","Open Box Mobiles",1.0000,4500
19707,OPMBNTFB0305,"MOTOROLA G (XT1033) (1ST GEN) 16GB BLACK(B Grade)","Open Box Mobile Grade B ",4.0000,2620
18961,OPMBNTF0685,"MOTOROLA G 1ST GEN (8GB , BLACK)","Open Box Mobiles",1.0000,2500
10464,SYG/MOT/G4P16G,"Motorola G Plus, 4th Gen (16 GB)","Sell Your Gadget",10.0000,4800
10465,SYG/MOT/G4P32G,"Motorola G Plus, 4th Gen (32 GB)","Sell Your Gadget",10.0000,5600
13127,NEWMOB00035,"Motorola Moto E (2nd Gen)  8 GB Black","Brand New Mobiles",1.0000,6000
13135,OPMBNTF0215,"Motorola Moto E (2nd Gen) 4G XT1521 8 GB White","Open Box Mobiles",3.0000,6720
16634,NEWMOB00042,"Motorola Moto G (3rd Generation) XT1550 ( White 16 GB )","Brand New Mobiles",1.0000,7000
9684,NEWMOB00039,"Motorola Moto G 1st Gen (XT 1033) BLACK 16GB","Brand New Mobiles",2.0000,4000
16419,NEWMOB00040,"Motorola Moto G 1st Gen (XT 1033) BLACK 8GB","Brand New Mobiles",2.0000,4000
16424,ASMBA000014,"Motorola Moto X (2ND Gen) 16GB ASIS ( No Returns ) ","Pre-Owned ASIS Mobiles",4.0000,3000
20230,OPMBNTFB0778,"Motorola Moto X Force (64GB, Grey Nylon) (B Grade)","Open Box Mobile Grade B ",2.0000,8300
20234,OPMBNTFB0779,"Motorola Moto X Play XT1562 (32GB, White) (B Grade)","Open Box Mobile Grade B ",4.0000,7300
20106,OPMBNTFB0216,"MOTOROLA Nexus 6 (32GB Dark) (B Grade)","Open Box Mobile Grade B ",3.0000,10000
19938,OPMBNTFB0100,"Motorola Nexus 6 (Midnight Blue, 32 GB) (B Grade)","Open Box Mobile Grade B ",1.0000,7700
20148,OPMBNTFB0466,"Motorola Nexus 6 (White , 32 GB) (B Grade)","Open Box Mobile Grade B ",1.0000,7700
20075,OPMBNTFB0250,"MOTOROLA Turbo Edition (XT 1557) 16GB Black (B Grade)","Open Box Mobile Grade B ",6.0000,5900
18389,OPMBNTF0600,"Motorola X (2nd Generation) XT1092 32GB Black","Open Box Mobiles",2.0000,7000
20235,OPMBNTFB0780,"Motorola X (2nd Generation) XT1092 32GB Black (B Grade)","Open Box Mobile Grade B ",1.0000,6300
20827,OPMBNTFB0600,"Motorola X (2nd Generation) XT1092 32GB Black(B Grade)","Open Box Mobile Grade B ",1.0000,6300
20149,OPMBNTFB0671,"Motorola X (2nd Generation) XT1092 32GB ROYAL BLUE (B Grade)","Open Box Mobile Grade B ",1.0000,6300
19693,OPMBNTFB0126,"MOTOROLA X (XT1052) (Black, 16GB) (B Grade)","Open Box Mobile Grade B ",10.0000,4501
16631,NEWMOB00013,"MOTOROLA X (XT1052) BLACK","Brand New Mobiles",1.0000,6500
20815,OPMBNTFB0129,"Motorola X Force (XT1580) 64GB GREY NYLON (B Grade)","Open Box Mobile Grade B ",1.0000,8000
20147,OPMBNTFB0306,"MOTOROLA X FORCE (XT1580) 64GB WHITE (B Grade)","Open Box Mobile Grade B ",3.0000,8300
20241,OPMBNTFB0782,"Motorola X Play XT1562 (Black, 16GB) (B Grade)","Open Box Mobile Grade B ",7.0000,5700
20181,OPMBNTFB0470,"Motorola X Style- 1572 (16GB, Black) (B grade)","Open Box Mobile Grade B ",1.0000,9000
16626,NEWMOB00011,"MOTOROLA X(XT1052) WHITE","Brand New Mobiles",7.0000,6000
10271,OPMBNTF0048,"Nextbit Robin (Midnight, 32 GB)","Open Box Mobiles",35.0000,7000
19727,OPMBNTFB0308,"Nextbit Robin (Mint, 32 GB)","Open Box Mobile Grade B ",2.0000,9500
19521,OPMBNTFB0570,"Nokia Lumia 1020 32GB (Black)(B Grade)","Open Box Mobile Grade B ",1.0000,8100
16811,OPMBNTF0153,"Nokia Lumia 520 (Black 8GB)","Open Box Mobiles",3.0000,9256
20817,OPMBNTFB0153,"Nokia Lumia 520 (Black 8GB) (B Grade)","Open Box Mobile Grade B ",1.0000,8300
20142,OPMBNTFB0693,"Nokia Lumia 530 Dual Sim (Black) (B Grade)","Open Box Mobile Grade B ",1.0000,2800
