"PRODUCT NAME",CATEGORY,QTY,PRICE
"DELL REFURBISHED INSPIRON 13 7350/ 5th Gen Ci5-5200U/ 8GB/ 500GB/ INT/ WIN 10/ 13.3-Inch FHD Touch","Brand Refurbished Laptops",1,48100
"DELL REFURBISHED INSPIRON 13 7359/ 5th Gen Ci5-5200U/ 8GB/ 500GB/ INT/ WIN 8.1/ 13.3-Inch FHD Touch","Brand Refurbished Laptops",1,48000
"DELL REFURBISHED INSPIRON 13 7359/ 6TH GEN CI5-6200U/ 8GB/ 500GB/ INT/ WIN 10/ 13.3-INCH FHD TOUCH","Brand Refurbished Laptops",1,48000
"DELL REFURBISHED INSPIRON 14 3442/ 4th Gen Ci3-4005U/ 4GB/ 500GB/ 2GB/ NO OS/ 14.0-Inch","Brand Refurbished Laptops",5,22500
"DELL REFURBISHED INSPIRON 14 3442/ 4th Gen Ci3-4005U/ 4GB/ 500GB/ INT/ NO OS/ 14.0-Inch","Brand Refurbished Laptops",1,20600
"DELL REFURBISHED INSPIRON 14 3442/ 4th Gen Ci5-4210U/ 4GB/ 500GB/ 2GB/ NO OS/ 14.0-Inch","Brand Refurbished Laptops",1,24500
"DELL REFURBISHED INSPIRON 14 3467 (6th Gen Ci3-6006U/ 4GB/ 1TB/ INT/ NO OS/ 14.0-INCH )","Brand Refurbished Laptops",2,27700
"DELL REFURBISHED INSPIRON 14 5458/ 4th Gen Ci3-4005U/ 4GB/ 1TB/ INT/ WIN 10/ 14.0-Inch","Brand Refurbished Laptops",1,25000
"DELL REFURBISHED INSPIRON 14 5458/ 5th Gen Ci5-5200U/ 8GB/ 1TB/ INT/ WIN 10/ 14.0-Inch Touch","Brand Refurbished Laptops",1,34300
"DELL REFURBISHED INSPIRON 14 7460/ 7TH GEN CI5-7200U/ 8GB/ 128GB SSD+1TB/ 2GB/ WIN 10/ 14.0-INCH FHD","Brand Refurbished Laptops",1,50700
"DELL REFURBISHED INSPIRON 14 7460/ 7th Gen Ci5-7200U/ 8GB/ 1TB/ 2GB/ WIN 10/ 14.0-Inch FHD","Brand Refurbished Laptops",1,49999
"DELL REFURBISHED INSPIRON 15 3521/ 3rd Gen Ci5-3317U/ 4GB/ 500GB/ 1GB/ WIN 8.1/ 15.6-Inch","Brand Refurbished Laptops",1,26000
"DELL REFURBISHED INSPIRON 15 3521/ 3rd Gen Ci5-3337U/ 4GB/ 500GB/ 1GB/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",1,26500
"DELL REFURBISHED INSPIRON 15 3542 (4th Gen Ci5-4210U/ 4GB/ 500GB/ INT/ WIN 10/ 15.6-INCH )","Brand Refurbished Laptops",2,25000
