store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,is_superdeal,product_category_type,name,image,small_image,thumbnail,gallery,url_key,warrenty,model_no,laptop_remark,weight,description,short_description,imp_desc,price,qty,is_in_stock,product_name,laptop_warranty_summary,laptop_battery,mapped_status
admin,base,Laptops,simple,"3,11",SYGNBQB0202,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR1GMXC",,,,,lenovo-thinkpad-l420-core-i5-2520m-2.50ghz-4gb-320gb-14-lr1gmxc-sygnbqcp023,15 Days Testing Warranty.,Thinkpad L420,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR1GMXC",15 Days Testing Warranty.,14.4V--32WH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0203,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR1MTLD",,,,,lenovo-thinkpad-l420-core-i5-2520m-2.50ghz-4gb-320gb-14-lr1mtld-sygnbqcp024,15 Days Testing Warranty.,Thinkpad L420,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR1MTLD",15 Days Testing Warranty.,14.4V--32WH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0204,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4TGB4",,,,,lenovo-thinkpad-l420-core-i5-2520m-2.50ghz-4gb-320gb-14-lr4tgb4-sygnbqcp025,15 Days Testing Warranty.,Thinkpad L420,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4TGB4",15 Days Testing Warranty.,14.4V--32WH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0205,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4TVH2",,,,,lenovo-thinkpad-l420-core-i5-2520m-2.50ghz-4gb-320gb-14-lr4tvh2-sygnbqcp026,15 Days Testing Warranty.,Thinkpad L420,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4TVH2",15 Days Testing Warranty.,14.4V--32WH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0206,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4PCE7",,,,,lenovo-thinkpad-l420-core-i5-2520m-2.50ghz-4gb-320gb-14-lr4pce7-sygnbqcp027,15 Days Testing Warranty.,Thinkpad L420,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4PCE7",15 Days Testing Warranty.,14.4V--32WH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0207,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4TDM4",,,,,lenovo-thinkpad-l420-core-i5-2520m-2.50ghz-4gb-320gb-14-lr4tdm4-sygnbqcp028,15 Days Testing Warranty.,Thinkpad L420,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR4TDM4",15 Days Testing Warranty.,14.4V--32WH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0208,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i5,No,QCNBK-B,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR0M1YW",,,,,lenovo-thinkpad-l420-core-i5-2520m-2.50ghz-4gb-320gb-14-lr0m1yw-sygnbqcp029,15 Days Testing Warranty.,Thinkpad L420,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Lenovo -Thinkpad L420(Core I5 2520M 2.50GHz/4GB/320GB 14"") LR0M1YW",15 Days Testing Warranty.,14.4V--32WH,No
admin,base,Laptops,simple,"3,11",QCNBB000371,2,"Catalog, Search",GST0.36,Asus,Yes,Yes,Yes,Celeron,No,QCNBK-B,"Asus-Eeepc 4g(Celeron m processer 512MB /40GB 6"") 930AAQ152552",,,,,asus-eeepc-4g-celeron-m-processer-512mb-40gb-6-930aaq152552-qcnbb001453,15 Days Testing Warranty.,Eeepc 4g,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"ASUS-Eeepc 4g(Celeron m processer 512MB /40GB 6"") 930AAQ152552",15 Days Testing Warranty.,7.4V4400MAH,No
admin,base,Laptops,simple,"3,11",QCNBB000765,2,"Catalog, Search",GST0.36,DELL,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Dell-INSP N4010(Core I3 M330 2.13GHz/3GB/320GB 14"") HRNY5BS",,,,,dell-insp-n4010-core-i3-m330-2.13ghz-3gb-320gb-14-hrny5bs-qcnbb001454,15 Days Testing Warranty.,INSP N4010,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"DELL-INSP N4010(Core I3 M330 2.13GHz/3GB/320GB 14"") HRNY5BS",15 Days Testing Warranty.,11.1V4000MAH,No
admin,base,Laptops,simple,"3,11",QCNBB001487,2,"Catalog, Search",GST0.36,DELL,Yes,Yes,Yes,Core 2 Duo,No,QCNBK-B,Dell-INSP 1464(Core 2 Duo 4GB/120GB) 8D6T4BS,,,,,dell-insp-1464-core-2-duo-4gb-120gb-8d6t4bs-qcnbb001455,15 Days Testing Warranty.,INSP 1464,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,DELL-INSP 1464(Core 2 Duo 4GB/120GB) 8D6T4BS,15 Days Testing Warranty.,11.1v4400mah,No
admin,base,Laptops,simple,"3,11",QCNBB001486,2,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,Core i3,No,QCNBK-B,Lenovo-G5070(Core I3 4th Gen 2GB/1TB) YB04726095,,,,,lenovo-g5070-core-i3-4th-gen-2gb-1tb-yb04726095-qcnbb001456,15 Days Testing Warranty.,G5070,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,Lenovo-G5070(Core I3 4th Gen 2GB/1TB) YB04726095,15 Days Testing Warranty.,,No
admin,base,Laptops,simple,"3,11",QCNBB001485,2,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,Core i5,No,QCNBK-B,HP-15R007TX(Core I5 4th Gen/2GB/1TB) CND4312WZC,,,,,hp-15r007tx-core-i5-4th-gen-2gb-1tb-cnd4312wzc-qcnbb001457,15 Days Testing Warranty.,15R007TX,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,HP-15R007TX(Core I5 4th Gen/2GB/1TB) CND4312WZC,15 Days Testing Warranty.,,No
