sku,description,short_description,imp_desc
NEWMOB00363,"<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 12 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 12 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 12 megapixel</li></ul>
"
NEWMOB00367,"<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 8 megapixel</li></ul>
"
NEWMOB00368,"<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 8 megapixel</li></ul>
"
NEWMOB00372,"<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 8 megapixel</li></ul>
"
NEWMOB00369,"<ul><li>Display -4.70 inch</li>
<li>Front Camera -5 Megapixel</li>
<li>Resolution-750x1334 pixels</li>
<li>OS - iOS 9</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - 1715 mAh  </li></ul>
","<ul><li>Display -4.70 inch</li>
<li>Front Camera -5 Megapixel</li>
<li>Resolution-750x1334 pixels</li>
<li>OS - iOS 9</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - 1715 mAh  </li></ul>
","<ul><li>Display -4.70 inch</li>
<li>Front Camera -5 Megapixel</li>
<li>Resolution-750x1334 pixels</li>
<li>OS - iOS 9</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - 1715 mAh  </li></ul>
"
NEWMOB00370,"<ul><li>Display -4.70 inch</li>
<li>Front Camera -5 Megapixel</li>
<li>Resolution-750x1334 pixels</li>
<li>OS - iOS 9</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - 1715 mAh  </li></ul>
","<ul><li>Display -4.70 inch</li>
<li>Front Camera -5 Megapixel</li>
<li>Resolution-750x1334 pixels</li>
<li>OS - iOS 9</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - 1715 mAh  </li></ul>
","<ul><li>Display -4.70 inch</li>
<li>Front Camera -5 Megapixel</li>
<li>Resolution-750x1334 pixels</li>
<li>OS - iOS 9</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - 1715 mAh  </li></ul>
"
NEWMOB00371,"<ul><li>Display -4.70 inch</li>
<li>Front Camera -5 Megapixel</li>
<li>Resolution-750x1334 pixels</li>
<li>OS - iOS 9</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - 1715 mAh  </li></ul>
","<ul><li>Display -4.70 inch</li>
<li>Front Camera -5 Megapixel</li>
<li>Resolution-750x1334 pixels</li>
<li>OS - iOS 9</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - 1715 mAh  </li></ul>
","<ul><li>Display -4.70 inch</li>
<li>Front Camera -5 Megapixel</li>
<li>Resolution-750x1334 pixels</li>
<li>OS - iOS 9</li>
<li>Rear Camera - 12 megapixel</li>
<li>Battery  - 1715 mAh  </li></ul>
"
NEWMOB00391,"<ul><li>5.8 inch Super Retina HD Display</li>
<li>12MP + 12MP Dual Rear Camera </li>
<li>7MP Front Camera</li>
<li>lithium-ion Battery</li>
<li>A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor</li></ul>","<ul><li>5.8 inch Super Retina HD Display</li>
<li>12MP + 12MP Dual Rear Camera </li>
<li>7MP Front Camera</li>
<li>lithium-ion Battery</li>
<li>A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor</li></ul>","<ul><li>5.8 inch Super Retina HD Display</li>
<li>12MP + 12MP Dual Rear Camera </li>
<li>7MP Front Camera</li>
<li>lithium-ion Battery</li>
<li>A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor</li></ul>"
OPMBNTF0699,"<ul><li>Display - 5.50 inch</li>
<li>Processor-  1.2GHz quad-core</li>
<li>Front Camera - 5 Megapixel</li>
<li>Resolution. 720x1280 pixels</li>
<li>OS - Android 4.4</li>
<li>Rear Camera - 13 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor-  1.2GHz quad-core</li>
<li>Front Camera - 5 Megapixel</li>
<li>Resolution. 720x1280 pixels</li>
<li>OS - Android 4.4</li>
<li>Rear Camera - 13 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor-  1.2GHz quad-core</li>
<li>Front Camera - 5 Megapixel</li>
<li>Resolution. 720x1280 pixels</li>
<li>OS - Android 4.4</li>
<li>Rear Camera - 13 megapixel</li></ul>
"
QCMBB000204,"<ul><li>Display - 5.50 inch</li>
<li>Processor-  1.4GHz hexa-core</li>
<li>Front Camera - 5 Megapixel</li>
<li>Resolution. 1080x1920 pixels</li>
<li>OS - Android 5.1</li>
<li>Rear Camera - 16 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor-  1.4GHz hexa-core</li>
<li>Front Camera - 5 Megapixel</li>
<li>Resolution. 1080x1920 pixels</li>
<li>OS - Android 5.1</li>
<li>Rear Camera - 16 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor-  1.4GHz hexa-core</li>
<li>Front Camera - 5 Megapixel</li>
<li>Resolution. 1080x1920 pixels</li>
<li>OS - Android 5.1</li>
<li>Rear Camera - 16 megapixel</li></ul>
"
