sku,laptop_remark
OPMBNTFB0016,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0018,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0019,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0020,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0021,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0022,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0023,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0025,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0032,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0034,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0035,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0036,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0041,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0045,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0046,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0051,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0058,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0061,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0064,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0065,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0077,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
