sku,image,small_image,thumbnail,gallery,
ASMBA000103,+/samsung-galaxy-s3-mini.jpg,+/samsung-galaxy-s3-mini.jpg,+/samsung-galaxy-s3-mini.jpg,/samsung-galaxy-s3-mini-right.jpg;/samsung-galaxy-s3-mini-left.jpg,
ASMBA000082,+/apple-iphone-4.jpg,+/apple-iphone-4.jpg,+/apple-iphone-4.jpg,/apple-iphone-4-right.jpg;/apple-iphone-4-left.jpg,
ASMBA000097,+/apple-iphone-5.jpg,+/apple-iphone-5.jpg,+/apple-iphone-5.jpg,/apple-iphone-5-right.jpg;/apple-iphone-5-left.jpg,
ASMBA000091,+/samsung-galaxy-grand-prime.jpg,+/samsung-galaxy-grand-prime.jpg,+/samsung-galaxy-grand-prime.jpg,/samsung-galaxy-grand-prime-right.jpg;/samsung-galaxy-grand-prime-left.jpg,
ASMBA000085,+/apple-iphone-5s.jpg,+/apple-iphone-5s.jpg,+/apple-iphone-5s.jpg,/apple-iphone-5s-right.jpg;/apple-iphone-5s-right-left.jpg,
ASMBA000092,+/apple-iphone-6-space-grey.jpg,+/apple-iphone-6-space-grey.jpg,+/apple-iphone-6-space-grey.jpg,/apple-iphone-6-space-grey-right.jpg;/apple-iphone-6-space-grey-left.jpg,
ASMBA000086,+/apple-iphone-6-space-grey.jpg,+/apple-iphone-6-space-grey.jpg,+/apple-iphone-6-space-grey.jpg,/apple-iphone-6-space-grey-right.jpg;/apple-iphone-6-space-grey-left.jpg,
ASMBA000093,+/apple-iphone-6-plus.jpg,+/apple-iphone-6-plus.jpg,+/apple-iphone-6-plus.jpg,/apple-iphone-6-plus-right.jpg;/apple-iphone-6-plus-left.jpg,
ASMBA000100,+/apple-iphone-5s.jpg,+/apple-iphone-5s.jpg,+/apple-iphone-5s.jpg,/apple-iphone-5s-right.jpg;/apple-iphone-5s-right-left.jpg,
ASMBA000081,+/apple-iphone-5s.jpg,+/apple-iphone-5s.jpg,+/apple-iphone-5s.jpg,/apple-iphone-5s-right.jpg;/apple-iphone-5s-right-left.jpg,
