store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,mapped_status
admin,base,Laptops,simple,"3,11",QCNBB001775,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion DV6500(Core 2 Duo 1.6GHz/2GB/320GB 15"")CNF74280RF",15 Days Testing Warranty.,Pavilion DV6500,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion DV6500(Core 2 Duo 1.6GHz/2GB/320GB 15"")CNF74280RF",simple,15 Days Testing Warranty.,No,No,10.8V--3500MAH,No
admin,base,Laptops,simple,"3,11",QCNBB001776,2,"Catalog, Search",GST0.36,Lenovo,Core i5,QCNBK-B,"Lenovo-Ideadpad 300-15ISK(Core I5 4200U 2.30GHz/4GB/1TB 15.6"")YB03871853",15 Days Testing Warranty.,Ideadpad 300-15ISK,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-Ideadpad 300-15ISK(Core I5 4200U 2.30GHz/4GB/1TB 15.6"")YB03871853",simple,15 Days Testing Warranty.,No,No,14.8V-2800MAH,No
admin,base,Laptops,simple,"3,11",QCNBB001807,2,"Catalog, Search",GST0.36,Dell,Core i7,QCNBK-B,Dell-INSP 15 5577(Core I7 7700HQ 2.80GHz/8GB/1TB)F7J3RH2,15 Days Testing Warranty.,INSP 15 5577,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-INSP 15 5577(Core I7 7700HQ 2.80GHz/8GB/1TB)F7J3RH2,simple,15 Days Testing Warranty.,No,No,,No
admin,base,Laptops,simple,"3,11",QCNBB001777,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,Dell-INSP 1464(Core 2 Duo 4GB/120GB)8D6T4BS,15 Days Testing Warranty.,INSP 1464,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-INSP 1464(Core 2 Duo 4GB/120GB)8D6T4BS,simple,15 Days Testing Warranty.,No,No,11.1v--4400mah,No
admin,base,Laptops,simple,"3,11",QCNBB001778,2,"Catalog, Search",GST0.36,Apple,Core i7,QCNBK-B,"Apple-A1278(Core I7 2.50GHz/4GB/500GB 13"")C1MQ4E40DTY3",15 Days Testing Warranty.,A1278,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Apple-A1278(Core I7 2.50GHz/4GB/500GB 13"")C1MQ4E40DTY3",simple,15 Days Testing Warranty.,No,No,Inbuild,No
admin,base,Laptops,simple,"3,11",QCNBB001779,2,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire 4738G(Core I3 M380 2.53GHz/4GB/500GB 14.1"")LXR5W0202504612A282500",15 Days Testing Warranty.,Aspire 4738G,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 4738G(Core I3 M380 2.53GHz/4GB/500GB 14.1"")LXR5W0202504612A282500",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,No
admin,base,Laptops,simple,"3,11",SYGNBQB0321,2,"Catalog, Search",GST0.36,Lenovo,Core i3,QCNBK-B,"Lenovo-G560(Core I3 M330 2.13GHz/1GB/320GB 15.6"")CBQ1812538",15 Days Testing Warranty.,G560,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-G560(Core I3 M330 2.13GHz/1GB/320GB 15.6"")CBQ1812538",simple,15 Days Testing Warranty.,No,No,10.8V--48Wh,No
admin,base,Laptops,simple,"3,11",QCNBB001780,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-INSP 11-3147(Pentium N3530 2.16GHz/4GB/500GB 14.0"")JB1FB12",15 Days Testing Warranty.,INSP 11-3147,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 11-3147(Pentium N3530 2.16GHz/4GB/500GB 14.0"")JB1FB12",simple,15 Days Testing Warranty.,No,No,In Build,No
admin,base,Laptops,simple,"3,11",SYGNBQB0322,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP 3537(Core I5 4200U 1.60GHz/4GB/500GB 15.6"")36TXGZ1",15 Days Testing Warranty.,INSP 3537,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 3537(Core I5 4200U 1.60GHz/4GB/500GB 15.6"")36TXGZ1",simple,15 Days Testing Warranty.,No,No,11.1V--65Wh,No
admin,base,Laptops,simple,"3,11",QCNBB001781,2,"Catalog, Search",GST0.36,Lenovo,,QCNBK-B,"Lenovo-Ideadpad 300(Intel celeron r cpu n3060 1.60GHz/4GB/500GB 15"")PF0M1303",15 Days Testing Warranty.,Ideadpad 300,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-Ideadpad 300(Intel celeron r cpu n3060 1.60GHz/4GB/500GB 15"")PF0M1303",simple,15 Days Testing Warranty.,No,No,Inbuild,No
admin,base,Laptops,simple,"3,11",QCNBB001782,2,"Catalog, Search",GST0.36,Lenovo,,QCNBK-B,"Lenovo-ideapad 300-15isk(AMD A7 8GB/1TB 15.6"")PF0ME1FV",15 Days Testing Warranty.,ideapad 300-15isk,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-ideapad 300-15isk(AMD A7 8GB/1TB 15.6"")PF0ME1FV",simple,15 Days Testing Warranty.,No,No,14.1V--37WH,No
