store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,mapped_status,price
admin,base,Laptops,simple,"3,11",QCNBA000021,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-A,"Dell Inspiron 1525 (CPU-INTEL CORE® ™ 2 T5750.2GHZ/RAM-2GB/HDD-160GB/DISPLAY-15.4"") 59TY1BS",15 Days Testing Warranty.,Inspiron 1525,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell Inspiron 1525 (CPU-INTEL CORE® ™ 2 T5750.2GHZ/RAM-2GB/HDD-160GB/DISPLAY-15.4"") 59TY1BS",simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000022,2,No,"Catalog, Search",GST0.36,Sony,QCNBK-A,"Sony VPCCA (CPU-INTEL CORE I5-2410M.2.30GHZ/RAM-8GB/HDD-500GB DISPLAY-14"") C608DCR4$",15 Days Testing Warranty.,VPCCA,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony VPCCA (CPU-INTEL CORE I5-2410M.2.30GHZ/RAM-8GB/HDD-500GB DISPLAY-14"") C608DCR4$",simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000023,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-A,Dell P63F (CPU-INTEL®CORE™I5-7200U@2.50GHZ/RAM-4.0GB/HDD-1GB/DISPLAY-15.6''NO ADPT) 2m5b4f2,15 Days Testing Warranty.,P63F,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell P63F (CPU-INTEL®CORE™I5-7200U@2.50GHZ/RAM-4.0GB/HDD-1GB/DISPLAY-15.6''NO ADPT) 2m5b4f2,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000024,2,No,"Catalog, Search",GST0.36,HP,QCNBK-A,HP 15-p077tx (CPU-INTEL CORE I5 -4210U 1.7GHZ/RAM-8GB/HDD-1TB/DISPLAY 15.6'') 5CD424590L,15 Days Testing Warranty.,15-p077tx,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,HP 15-p077tx (CPU-INTEL CORE I5 -4210U 1.7GHZ/RAM-8GB/HDD-1TB/DISPLAY 15.6'') 5CD424590L,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000025,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-A,Lenovo Z580 (CPU-INTEL CORE I5-3210M@2.5GHZ/RAM-4GB/HDD-500GB/DISPAY-15.6'') QB04827345,15 Days Testing Warranty.,Z580,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Lenovo Z580 (CPU-INTEL CORE I5-3210M@2.5GHZ/RAM-4GB/HDD-500GB/DISPAY-15.6'') QB04827345,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000026,2,No,"Catalog, Search",GST0.36,HP,QCNBK-A,HP Pavilion dv6 (CPU-INTEL CORE I5-2430M@2.40GHZ/RAM-4GB/HDD-700GB/DISPLAY-15.6'') 5CH1331NKH,15 Days Testing Warranty.,Pavilion dv6,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,HP Pavilion dv6 (CPU-INTEL CORE I5-2430M@2.40GHZ/RAM-4GB/HDD-700GB/DISPLAY-15.6'') 5CH1331NKH,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000027,2,No,"Catalog, Search",GST0.36,Sony,QCNBK-A,Sony PCG-71811W (CPU-INTEL®CORE™I5-2430M@2.50GHZ/RAM-4.0GB/HDD-500GB/DISPLAY-15.6'') C106FCLYF,15 Days Testing Warranty.,PCG-71811W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Sony PCG-71811W (CPU-INTEL®CORE™I5-2430M@2.50GHZ/RAM-4.0GB/HDD-500GB/DISPLAY-15.6'') C106FCLYF,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000028,2,No,"Catalog, Search",GST0.36,HP,QCNBK-A,HP 15-r204tx (CPU-INTEL CORE I5-52000@2.2GHZ/RAM-8GB/HDD-1TB/DISPLAY-15.6'') CND5090YNT,15 Days Testing Warranty.,15-r204tx,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,HP 15-r204tx (CPU-INTEL CORE I5-52000@2.2GHZ/RAM-8GB/HDD-1TB/DISPLAY-15.6'') CND5090YNT,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000029,2,No,"Catalog, Search",GST0.36,Sony,QCNBK-A,Sony VPCEH (CPU-INTEL CORE™I5-2450M@2.5GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6'') C106SN72,15 Days Testing Warranty.,VPCEH,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Sony VPCEH (CPU-INTEL CORE™I5-2450M@2.5GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6'') C106SN72,simple,15 Days Testing Warranty.,No,No,0.00
admin,base,Laptops,simple,"3,11",QCNBA000030,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-A,Dell inspiron n4010 (CPU-INTEL®CORE™I5 @2.53GHZ/RAM-4GB/HDD-350GB/DISPLAY-14'') 1YHQ5BS,15 Days Testing Warranty.,inspiron n4010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell inspiron n4010 (CPU-INTEL®CORE™I5 @2.53GHZ/RAM-4GB/HDD-350GB/DISPLAY-14'') 1YHQ5BS,simple,15 Days Testing Warranty.,No,No,0.00
