sku,new_launch
NEWMOB00074,0
NEWMOB00052,0
NEWMOB00158,0
NEWMOB00269,0
NEWMOB00270,0
ASMBA000019,0
ASMBA000007,0
ASMBA000043,0
ASMBA000009,0
ASMBA000012,0
ASMBA000026,0
ASMBA000015,0
ASMBA000008,0
ASMBA000020,0
ASMBA000048,0
ASMBA000016,0
ASMBA000051,0
NEWMOB00099,0
QCMBB000017,0
QCMBB000020,0
QCMBB000021,0
QCMBB000026,0
QCMBB000027,0
QCMBB000023,0
QCMBB000024,0
QCMBA000002,0
QCMBA000066,0
QCMBA000065,0
QCMBA000005,0
QCMBA000008,0
QCMBA000006,0
QCMBA000068,0
QCMBA000004,0
OPMBNTF0183,0
OPMBNTF0642,0
NEWMOB00271,0
NEWMOB00272,0
NEWMOB00035,0
NEWMOB00034,0
OPMBNTF0215,0
OPMBNTF0604,0
NEWMOB00204,0
OPMBNTF0557,0
OPMBNTF0564,0
OPMBNTF0151,0
OPMBNTF0435,0
OPMBNTF0553,0
OPMBNTF0167,0
OPMBNTF0071,0
OPMBNTF0552,0
OPMBNTF0551,0
OPMBNTF0631,0
OPMBNTF0632,0
OPMBNTF0598,0
OPMBNTF0603,0
OPMBNTF0602,0
OPMBNTF0568,0
OPMBNTF0636,0
NEWMOB00352,0
NEWMOB00025,0
NEWMOB00024,0
OPMBNTF0683,0
OPMBNTF0169,0
OPMBNTF0220,0
OPMBNTF0255,0
OPMBNTF0193,0
OPMBNTF0170,0
OPMBNTF0254,0
OPMBNTF0018/X-STANDER-BLUE,0
NEWTAB00026,0
NEWMOB00015,0
NEWMOB00016,0
NEWNBK00050,0
QCMBB000201,0
NEWMOB00288,0
NEWMOB00291,0
QCPNBK00243,0
OPMBNTF0522,0
QCMBB000099,0
NEWMOB00085,0
NEWMOB00084,0
QCMBB000125,0
ASMBA000001,0
NEWMOB00191,0
OPMBNTF0338,0
ASMBA000035,0
NEWMOB00120,0
REFDE00001,0
REFDE00002,0
REFDE00003,0
REFDE00004,0
REFDE00005,0
REFDE00006,0
REFDE00007,0
REFDE00008,0
REFDE00009,0
REFDE00010,0
REFDE00011,0
REFDE00012,0
REFDE00013,0
REFDE00014,0
REFDE00015,0
REFDE00016,0
REFDE00017,0
REFDE00018,0
REFDE00019,0
REFDE00023,0
REFDE00024,0
REFDE00027,0
REFDE00028,0
REFDE00029,0
REFDE00030,0
REFDE00031,0
REFDE00032,0
REFDE00033,0
REFDE00034,0
REFDE00035,0
REFDE00036,0
REFDE00037,0
REFDE00038,0
REFDE00039,0
REFDE00040,0
REFDE00041,0
REFDE00042,0
REFDE00043,0
REFDE00044,0
REFDE00045,0
REFDE00047,0
REFDE00048,0
REFDE00049,0
REFDE00051,0
REFDE00052,0
REFDE00053,0
REFDE00054,0
REFDE00055,0
REFDE00056,0
REFDE00057,0
REFDE00059,0
REFDE00060,0
REFDE00064,0
REFDE00065,0
REFDE00067,0
REFDE00068,0
REFDE00069,0
REFDE00070,0
REFDE00071,0
REFDE00072,0
REFDE00073,0
REFDE00074,0
REFDE00075,0
REFDE00076,0
REFDE00077,0
REFDE00078,0
REFDE00079,0
REFDE00080,0
REFDE00081,0
REFDE00082,0
REFDE00083,0
REFDE00084,0
REFDE00085,0
REFDE00086,0
REFDE00090,0
REFDE00091,0
REFDE00092,0
REFDE00094,0
REFDE00095,0
REFDE00096,0
REFDE00097,0
REFDE00098,0
REFDE00099,0
REFDE00100,0
REFDE00101,0
REFDE00102,0
REFDE00103,0
REFDE00104,0
REFDE00105,0
REFDE00106,0
REFDE00107,0
REFDE00108,0
REFDE00109,0
REFDE00110,0
REFDE00111,0
REFDE00112,0
REFDE00113,0
REFDE00114,0
REFDE00115,0
REFDE00116,0
REFDE00117,0
REFDE00118,0
REFDE00119,0
REFDE00120,0
REFDE00121,0
REFDE00122,0
REFDE00123,0
REFDE00124,0
REFDE00125,0
REFDE00126,0
REFDE00127,0
REFDE00128,0
REFDE00129,0
REFDE00130,0
REFDE00131,0
REFDE00132,0
REFDE00133,0
REFDE00134,0
REFDE00135,0
REFDE00136,0
REFDE00137,0
REFDE00138,0
REFDE00139,0
REFDE00140,0
REFDE00141,0
REFDE00142,0
REFDE00143,0
REFDE00144,0
REFDE00145,0
REFDE00146,0
REFDE00147,0
REFDE00148,0
REFDE00149,0
REFDE00150,0
REFDE00151,0
REFDE00152,0
REFDE00153,0
REFDE00154,0
REFDE00155,0
REFDE00156,0
REFDE00157,0
REFDE00158,0
REFDE00159,0
REFDE00160,0
REFDE00161,0
REFDE00162,0
REFDE00163,0
REFDE00164,0
REFDE00165,0
REFDE00166,0
REFDE00167,0
REFDE00168,0
REFDE00169,0
REFDE00170,0
REFDE00171,0
REFDE00172,0
REFDE00173,0
REFDE00174,0
REFDE00175,0
REFDE00176,0
REFDE00177,0
REFDE00178,0
REFDE00179,0
REFDE00180,0
REFDE00181,0
REFDE00182,0
REFDE00183,0
REFDE00184,0
REFDE00185,0
REFDE00186,0
REFDE00187,0
REFDE00188,0
REFDE00189,0
REFDE00190,0
REFDE00191,0
REFDE00192,0
REFDE00193,0
REFDE00194,0
REFDE00195,0
REFDE00196,0
REFDE00197,0
REFDE00198,0
REFDE00199,0
REFDE00200,0
REFDE00201,0
REFDE00202,0
REFDE00203,0
REFDE00204,0
REFDE00205,0
REFDE00206,0
REFDE00207,0
REFDE00208,0
REFDE00209,0
REFDE00210,0
REFDE00211,0
REFDE00212,0
REFDE00213,0
REFDE00214,0
REFDE00215,0
REFDE00216,0
REFDE00217,0
REFDE00218,0
REFDE00219,0
REFDE00220,0
REFDE00221,0
REFDE00222,0
REFDE00223,0
REFDE00224,0
REFDE00225,0
REFDE00226,0
REFDE00227,0
REFDE00228,0
REFDE00229,0
REFDE00230,0
REFDE00231,0
REFDE00232,0
REFDE00233,0
REFDE00234,0
REFDE00235,0
REFDE00236,0
REFDE00237,0
REFDE00238,0
REFDE00239,0
REFDE00240,0
REFDE00241,0
REFDE00242,0
REFDE00243,0
REFDE00244,0
REFDE00245,0
REFDE00246,0
REFDE00247,0
REFDE00248,0
REFDE00249,0
NEWNBK00002,0
OPNBNTF0001,0
NEWNBK00001,0
NEWMOB00001,0
NEWMOB00002,0
NEWMOB00003,0
NEWMOB00004,0
NEWMOB00005,0
NEWMOB00006,0
NEWMOB00007,0
NEWMOB00008,0
NEWTAB00022,0
NEWMOB00082,0
NEWMOB00083,0
NEWTAB00001,0
NEWMOB00053,0
NEWMOB00054,0
NEWMOB00055,0
NEWMOB00056,0
NEWMOB00057,0
NEWMOB00058,0
NEWMOB00059,0
NEWMOB00060,0
NEWMOB00061,0
NEWMOB00063,0
NEWMOB00064,0
NEWMOB00065,0
NEWMOB00069,0
OPMBNTF0165,0
NEWMOB00070,0
NEWMOB00075,0
NEWMOB00076,0
NEWMOB00077,0
NEWMOB00078,0
NEWMOB00044,0
NEWMOB00045,0
NEWMOB00046,0
