store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,color
admin,base,Laptops,simple,"3,11",QCNBB001549,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i3,QCNBK-B,Dell-Vostro 2520(CORE I3-3120M / 2.50GHZ / 4GB / 500GB 15.6'')2V9ZGY1,15 Days Testing Warranty.,Vostro 2520,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-Vostro 2520(CORE I3-3120M / 2.50GHZ / 4GB / 500GB 15.6'')2V9ZGY1,simple,15 Days Testing Warranty.,No,No,11.1V ---48WH,Grey 
admin,base,Laptops,simple,"3,11",QCNBB001550,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,Core i3,QCNBK-B,"HP-Pavillion DV4_2103TU(Core I3 M330 2.13GHz/4GB/500GB 14.0"")CND0071F6W",15 Days Testing Warranty.,Pavillion DV4_2103TU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion DV4_2103TU(Core I3 M330 2.13GHz/4GB/500GB 14.0"")CND0071F6W",simple,15 Days Testing Warranty.,No,No,10.8V--5000mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001551,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i3,QCNBK-B,"Dell-INSP 1564(Core I3 M330 2.13GHz/4GB/320GB 15.6"")GGMY4BS",15 Days Testing Warranty.,INSP 1564,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 1564(Core I3 M330 2.13GHz/4GB/320GB 15.6"")GGMY4BS",simple,15 Days Testing Warranty.,No,No,11.1V--56Wh,Black
admin,base,Laptops,simple,"3,11",QCNBB001552,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,,QCNBK-B,"Dell-INSP 1012(Atom N450 1.66GHz/2GB/320GB 11.0"")J50GHL1",15 Days Testing Warranty.,INSP 1012,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 1012(Atom N450 1.66GHz/2GB/320GB 11.0"")J50GHL1",simple,15 Days Testing Warranty.,No,No,11.1V--56Wh,Blue
admin,base,Laptops,simple,"3,11",QCNBB001553,2,No,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,Core i3,QCNBK-B,"Sony-PCG-71811W(Core I3 2330M 2.20GHz/2GB/320GB 15.6"")C106GS5Q",15 Days Testing Warranty.,PCG-71811W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71811W(Core I3 2330M 2.20GHz/2GB/320GB 15.6"")C106GS5Q",simple,15 Days Testing Warranty.,No,No,10.8V--2200mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001554,2,No,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,,QCNBK-B,"Sony-PCG-71C11W(AMD E-450 APU 1.65GHz/2GB/500GB 15.6"")C9031CL7",15 Days Testing Warranty.,PCG-71C11W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71C11W(AMD E-450 APU 1.65GHz/2GB/500GB 15.6"")C9031CL7",simple,15 Days Testing Warranty.,No,No,10.8V--4000mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001555,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i3,QCNBK-B,"Dell-Vostro 1450(Core I3 2310M 2.10GHz/4GB/500B 14.0"")CX5BKP1",15 Days Testing Warranty.,Vostro 1450,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Vostro 1450(Core I3 2310M 2.10GHz/4GB/500B 14.0"")CX5BKP1",simple,15 Days Testing Warranty.,No,No,11.8V--4200mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001556,2,No,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,,QCNBK-B,"Acer-Aspire 5733Z(Pentium P6200 2.13GHz/2GB/500GB 15.6"")LXRJW0C03413427CAB1601",15 Days Testing Warranty.,Aspire 5733Z,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 5733Z(Pentium P6200 2.13GHz/2GB/500GB 15.6"")LXRJW0C03413427CAB1601",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,Grey
admin,base,Laptops,simple,"3,11",QCNBB001557,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,Core i5,QCNBK-B,"HP-Pavillion G6(Core I5 3210M 2.50GHz/4GB/500GB 15.6"")5CD2418515",15 Days Testing Warranty.,Pavillion G6,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion G6(Core I5 3210M 2.50GHz/4GB/500GB 15.6"")5CD2418515",simple,15 Days Testing Warranty.,No,No,10.8V--4200mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001558,2,No,"Catalog, Search",GST0.36,Lenovo,Yes,Yes,Yes,,QCNBK-B,"Lenovo-E49-3464(Celeron B830 1.80GHz/2GB/500GB 14.1"")PK-024P7",15 Days Testing Warranty.,E49-3464,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-E49-3464(Celeron B830 1.80GHz/2GB/500GB 14.1"")PK-024P7",simple,15 Days Testing Warranty.,No,No,10.8V--4.4Ah,Black
